start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,connections,start station latitude
379,W 31 St & 7 Ave,407491,-739916,546,E 30 St & Park Ave S,407444,-739830,66,407491
497,E 17 St & Broadway,407370,-739900,116,W 17 St & 8 Ave,407417,-740014,66,407370
519,Pershing Square N,407518,-739777,498,Broadway & W 32 St,407485,-739880,65,407518
527,E 33 St & 1 Ave,407431,-739743,472,E 32 St & Park Ave,407457,-739819,64,407431
462,W 22 St & 10 Ave,407469,-740045,435,W 21 St & 6 Ave,407417,-739941,64,407469
379,W 31 St & 7 Ave,407491,-739916,536,1 Ave & E 30 St,407414,-739753,63,407491
445,E 10 St & Avenue A,407274,-739814,285,Broadway & E 14 St,407345,-739907,63,407274
293,Lafayette St & E 8 St,407302,-739907,497,E 17 St & Broadway,407370,-739900,63,407302
379,W 31 St & 7 Ave,407491,-739916,2012,E 27 St & 1 Ave,407394,-739768,63,407491
497,E 17 St & Broadway,407370,-739900,435,W 21 St & 6 Ave,407417,-739941,63,407370
546,E 30 St & Park Ave S,407444,-739830,379,W 31 St & 7 Ave,407491,-739916,63,407444
519,Pershing Square N,407518,-739777,526,E 33 St & 5 Ave,407476,-739849,62,407518
477,W 41 St & 8 Ave,407564,-739900,519,Pershing Square N,407518,-739777,62,407564
462,W 22 St & 10 Ave,407469,-740045,453,W 22 St & 8 Ave,407447,-739991,62,407469
493,W 45 St & 6 Ave,407568,-739829,492,W 33 St & 7 Ave,407501,-739909,62,407568
490,8 Ave & W 33 St,407515,-739939,478,11 Ave & W 41 St,407603,-739988,61,407515
518,E 39 St & 2 Ave,407478,-739734,528,2 Ave & E 31 St,407429,-739770,61,407478
490,8 Ave & W 33 St,407515,-739939,519,Pershing Square N,407518,-739777,61,407515
519,Pershing Square N,407518,-739777,518,E 39 St & 2 Ave,407478,-739734,60,407518
394,E 9 St & Avenue C,407252,-739776,293,Lafayette St & E 8 St,407302,-739907,60,407252
3002,South End Ave & Liberty St,407115,-740157,427,State St,407025,-740142,60,407115
294,Washington Square E,407304,-739957,382,University Pl & E 14 St,407349,-739920,60,407304
462,W 22 St & 10 Ave,407469,-740045,521,8 Ave & W 31 St,407504,-739948,59,407469
382,University Pl & E 14 St,407349,-739920,284,Greenwich Ave & 8 Ave,407390,-740026,59,407349
327,Vesey Pl & River Terrace,407153,-740165,363,West Thames St,407083,-740171,59,407153
435,W 21 St & 6 Ave,407417,-739941,521,8 Ave & W 31 St,407504,-739948,58,407417
519,Pershing Square N,407518,-739777,490,8 Ave & W 33 St,407515,-739939,58,407518
508,W 46 St & 11 Ave,407634,-739966,490,8 Ave & W 33 St,407515,-739939,58,407634
438,St Marks Pl & 1 Ave,407277,-739856,293,Lafayette St & E 8 St,407302,-739907,58,407277
444,Broadway & W 24 St,407423,-739891,519,Pershing Square N,407518,-739777,58,407423
317,E 6 St & Avenue B,407245,-739818,300,Shevchenko Pl & E 6 St,407281,-739902,58,407245
435,W 21 St & 6 Ave,407417,-739941,453,W 22 St & 8 Ave,407447,-739991,58,407417
519,Pershing Square N,407518,-739777,379,W 31 St & 7 Ave,407491,-739916,58,407518
318,E 43 St & Vanderbilt Ave,407532,-739779,529,W 42 St & 8 Ave,407575,-739909,58,407532
294,Washington Square E,407304,-739957,483,E 12 St & 3 Ave,407322,-739888,57,407304
504,1 Ave & E 15 St,407322,-739816,487,E 20 St & FDR Drive,407331,-739757,57,407322
435,W 21 St & 6 Ave,407417,-739941,116,W 17 St & 8 Ave,407417,-740014,57,407417
435,W 21 St & 6 Ave,407417,-739941,494,W 26 St & 8 Ave,407473,-739972,57,407417
375,Mercer St & Bleecker St,407267,-739969,312,Allen St & E Houston St,407220,-739891,56,407267
355,Bayard St & Baxter St,407160,-739997,355,Bayard St & Baxter St,407160,-739997,56,407160
281,Grand Army Plaza & Central Park S,407643,-739737,499,Broadway & W 60 St,407691,-739819,56,407643
